"",,,,,,,,,,,17.64MW Gate 3,,,
50,Wind,Onshore,3,DG191,Knockalough,1,Full,33.6,35.2,Jan-2019,,Galway,11,Y
51,Wind,Onshore,3,TG25,Oweninny,1,Full,89,92.8,Oct-2019,,Mayo,29,Y
"",,,,,,,,,,Phase,,,,
52,Wind,Onshore,3,TG34,Grousemount,1,Full,114.2,114.2,Apr-2020,,Kerry,38,Y
"",,,,,Beenanaspuck &,,,,,Connection,,,,
53,Wind,Onshore,2,DG141a,,1,Full,23.15,23.1,Apr-2020,23.15 MW Wind + 11 MW Battery,Kerry,7,Y
"",,,,,Tobertoreen,,,,,Full / Partial,,,,
54,Wind,Onshore,3,TG44,Carrigdangan,1,Full,54.3,54.3,Jan-2021,,Cork,,Y
1,Hydro,PG,Ardnacrusha,1,Full,22,22 1929,,,Clare
2,Hydro,PG,Ardnacrusha,2,Full,22,22 1929,,,Clare
3,Hydro,PG,Ardnacrusha,3,Full,21,21 1929,,,Clare
4,Hydro,PG,Ardnacrusha,4,Full,21,21 1934,,,Clare
5,Hydro,PG,Erne,1,Full,10,10 1950,,Cliff,Donegal
6,Hydro,PG,Erne,2,Full,10,10 1955,,Cliff,Donegal
7,Hydro,PG,Erne,3,Full,22.5,22.5 1951,,Cathleen's Fall,Donegal
8,Hydro,PG,Erne,4,Full,22.5,2P2h.5ase 1952,,Cathleen's Fall,Donegal
9,Hydro,PG,Lee,1,Full,15,Conn1e5ction1 952,,Inniscarra,Cork
10,Hydro,PG,Lee,2,Full,4,Full / 4Partia1l 952,,Inniscarra,Cork
11,Hydro,PG,Lee,3,Full,8,8 1952,,Carrigadrohid,Cork
12,Hydro,PG,Liffey,1,Full,15,15 1944,,Pollaphuca,Wicklow
13,Hydro,PG,Liffey,2,Full,15,15 1944,,Pollaphuca,Wicklow
14,Hydro,PG,Liffey,3,Full,0.18,0.18 1944,,Pollaphuca,Wicklow
15,Hydro,PG,Liffey,4,Full,4,4 1944,,Pollaphuca,Wicklow
ll information provided in this official EirGrid site is provided for information purposes only and does not constitute a legal contract between EirGrid and any
erson or entity unless otherwise specified. Information on this official EirGrid web site is subject to change without prior notice. Although every reasonable
"ffort is made to present current and accurate information, EirGrid makes no guarantees of any kind. Whilst EirGrid strives to ensure as high a level of accuracy"
"s possible, EirGrid makes no warranties or representations of any kind with respect to the content, quality and accuracy of this information. EirGrid does not"
ccept liability for any loss or damage arising from the use of this Information or reliance on it. When projects have merged from different Gates the Gate
ssigned shall be on the basis of the Gate from which the majority of the capacity was offered.
ote: This report contains TSO-connected renewable generation data only.
he DSO-connected renewable generators lists can be found on the DSO website:
ttps://esbnetworks.ie/new-connections/generator-connections/generator-connection-statistics
ote: Knockacummer windfarm has switched from a TSO to a DSO grid connection.
oth the TSO and DSO connected wind reports have been updated accordingly.
